nohup: ignoring input
testing cp: 0, mp: 0.004, round 3
testing cp: 0, mp: 0.004, round 4
testing cp: 0, mp: 0.004, round 5
testing cp: 0, mp: 0.004, round 6
testing cp: 0, mp: 0.004, round 7
testing cp: 0, mp: 0.004, round 8
testing cp: 0, mp: 0.004, round 9
testing cp: 0, mp: 0.004, round 10
testing cp: 0, mp: 0.004, round 11
testing cp: 0, mp: 0.004, round 12
testing cp: 0, mp: 0.004, round 13
testing cp: 0, mp: 0.004, round 14
testing cp: 0, mp: 0.004, round 15
testing cp: 0, mp: 0.004, round 16
testing cp: 0, mp: 0.004, round 17
testing cp: 0, mp: 0.004, round 18
testing cp: 0, mp: 0.004, round 19
testing cp: 0, mp: 0.005, round 0
testing cp: 0, mp: 0.005, round 1
testing cp: 0, mp: 0.005, round 2
testing cp: 0, mp: 0.005, round 3
testing cp: 0, mp: 0.005, round 4
testing cp: 0, mp: 0.005, round 5
testing cp: 0, mp: 0.005, round 6
testing cp: 0, mp: 0.005, round 7
testing cp: 0, mp: 0.005, round 8
testing cp: 0, mp: 0.005, round 9
testing cp: 0, mp: 0.005, round 10
testing cp: 0, mp: 0.005, round 11
testing cp: 0, mp: 0.005, round 12
testing cp: 0, mp: 0.005, round 13
testing cp: 0, mp: 0.005, round 14
testing cp: 0, mp: 0.005, round 15
testing cp: 0, mp: 0.005, round 16
testing cp: 0, mp: 0.005, round 17
testing cp: 0, mp: 0.005, round 18
testing cp: 0, mp: 0.005, round 19
testing cp: 0, mp: 0.006, round 0
testing cp: 0, mp: 0.006, round 1
testing cp: 0, mp: 0.006, round 2
testing cp: 0, mp: 0.006, round 3
testing cp: 0, mp: 0.006, round 4
testing cp: 0, mp: 0.006, round 5
testing cp: 0, mp: 0.006, round 6
testing cp: 0, mp: 0.006, round 7
testing cp: 0, mp: 0.006, round 8
testing cp: 0, mp: 0.006, round 9
testing cp: 0, mp: 0.006, round 10
testing cp: 0, mp: 0.006, round 11
testing cp: 0, mp: 0.006, round 12
testing cp: 0, mp: 0.006, round 13
testing cp: 0, mp: 0.006, round 14
testing cp: 0, mp: 0.006, round 15
testing cp: 0, mp: 0.006, round 16
testing cp: 0, mp: 0.006, round 17
testing cp: 0, mp: 0.006, round 18
testing cp: 0, mp: 0.006, round 19
testing cp: 0, mp: 0.007, round 0
testing cp: 0, mp: 0.007, round 1
testing cp: 0, mp: 0.007, round 2
testing cp: 0, mp: 0.007, round 3
